MesañoISIN;mes-año;mes;año;Fecha;Name ;Peso;Peso en %;ISIN 1;Sector;ISIN 2;ISIN 3;ISIN 4;;
121999-ES0178430E18;121999;12;1999;1/12/99;TELEFONICA;27,61;27,61%;ES0178430E18;Telecommunications Services;;;;;#¡REF!
121999-ES0113900J37;121999;12;1999;1/12/99;BANCO SANTANDER;14,07;14,07%;ES0113900J37;Financials;ES0113900G30;;;;
121999-ES0113211835;121999;12;1999;1/12/99;BBV.ARGENTARIA;10,20;10,20%;ES0113211835;Financials;ES0113211033;;;;
121999-ES0173516115;121999;12;1999;1/12/99;REPSOL YPF;9,33;9,33%;ES0173516115;Energy;ES0173516016;;;;
121999-ES0130670112;121999;12;1999;1/12/99;ENDESA;7,12;7,12%;ES0130670112;Utilities;ES0130670013;;;;
121999-ES0144580Y14;121999;12;1999;1/12/99;IBERDROLA;4,23;4,23%;ES0144580Y14;Utilities;ES0144580018;;;;
121999-ES0124207137;121999;12;1999;1/12/99;ARGENTARlA;3,90;3,90%;ES0124207137;Financials;ES0124207038;;;;
121999-ES0116870314;121999;12;1999;1/12/99;NATURGY ENERGY;3,49;3,49%;ES0116870314;Utilities;ES0116870215;ES0116870413;;;
121999-ES0113790226;121999;12;1999;1/12/99;BANCO POPULAR ESPANOL;2,45;2,45%;ES0113790226;Financials;ES0113790531;ES0113790234;;;
121999-ES0181380710;121999;12;1999;1/12/99;UNION FENOSA;1,80;1,80%;ES0181380710;Utilities;ES0181380017;;;;
121999-ES0177040013;121999;12;1999;1/12/99;ALTADIS;1,56;1,56%;ES0177040013;Consumer Non-Cyclical;;;;;
121999-ES0113679I37;121999;12;1999;1/12/99;BANKINTER 'R';1,27;1,27%;ES0113679I37;Financials;ES0113679338;;;;
121999-ES0125220311;121999;12;1999;1/12/99;ACCIONA;1,27;1,27%;ES0125220311;Industrial;;;;;
121999-ES0118095019;121999;12;1999;1/12/99;CARREFOUR;1,00;1,00%;ES0118095019;Consumer Non-Cyclical;;;;;
121999-ES0117160111;121999;12;1999;1/12/99;COR.ALBA;0,92;0,92%;ES0117160111;Financials;ES0117160012;;;;
121999-ES0111845014;121999;12;1999;1/12/99;ABERTIS;0,87;0,87%;ES0111845014;Industrial;;;;;
121999-ES0122060314;121999;12;1999;1/12/99;FCC;0,83;0,83%;ES0122060314;Industrial;;;;;
121999-ES0132105018;121999;12;1999;1/12/99;ACERINOX 'R';0,79;0,79%;ES0132105018;Industrial;ES0132105331;;;;
121999-ES0162601019;121999;12;1999;1/12/99;FERROVIAL;0,70;0,70%;ES0162601019;Industrial;ES0162601019;;;;error
121999-ES0141330C19;121999;12;1999;1/12/99;AG.BARCELONA;0,69;0,69%;ES0141330C19;Industrial;;;;;
121999-ES0176252718;121999;12;1999;1/12/99;MELIA HOTELS INTL.;0,66;0,66%;ES0176252718;Consumer Cyclical;ES0176252015;;;;
121999-ES0118096017;121999;12;1999;1/12/99;CONTINENTE;0,65;0,65%;ES0118096017;Consumer Non-Cyclical;;;;;
121999-ES0138991015;121999;12;1999;1/12/99;ACERALIA;0,56;0,56%;ES0138991015;Industrial;;;;;
121999-ES0144460112;121999;12;1999;1/12/99;H.CANTABRICO;0,54;0,54%;ES0144460112;Industrial;;;;;
121999-ES0127070110;121999;12;1999;1/12/99;DRAGADOS;0,52;0,52%;ES0127070110;Industrial;;;;;
121999-ES0118594417;121999;12;1999;1/12/99;INDRA SISTEMAS;0,47;0,47%;ES0118594417;Technology;ES0118594011;;;;
121999-ES0167050915;121999;12;1999;1/12/99;ACS ACTIV.CONSTR.Y SERV.;0,44;0,44%;ES0167050915;Industrial;ES0167050311;;;;
121999-ES0111847036;121999;12;1999;1/12/99;AUREA;0,39;0,39%;ES0111847036;Industrial;;;;;
121999-ES0124244E34;121999;12;1999;1/12/99;MAPFRE;0,34;0,34%;ES0124244E34;Financials;ES0124244C36;ES0124244A38;;;
121999-ES0161560018;121999;12;1999;1/12/99;NH HOTELES;0,31;0,31%;ES0161560018;Consumer Cyclical;;;;;
121999-ES0178344117;121999;12;1999;1/12/99;TELEPIZZA;0,31;0,31%;ES0178344117;Consumer Cyclical;ES0178344315;;;;
121999-ES0182870214;121999;12;1999;1/12/99;SACYR;0,31;0,31%;ES0182870214;Industrial;ES0182870016;;;;
121999-ES0181660715;121999;12;1999;1/12/99;PULEVA;0,14;0,14%;ES0181660715;Consumer Non-Cyclical;ES0181660517;;;;
121999-ES0184262212;121999;12;1999;1/12/99;VISCOFAN;0,13;0,13%;ES0184262212;Basic Materials;;;;;
